Strategy Games,0
"Strategy Games, Thematic Games",1
"Thematic Games, Wargames",2
Thematic Games,3
"Strategy Games, Wargames",4
"Family Games, Strategy Games",5
"Customizable Games, Thematic Games",6
"Family Games, Thematic Games",7
Family Games,8
Customizable Games,9
"Abstract Games, Family Games",10
"Party Games, Strategy Games",11
Party Games,12
Wargames,13
Abstract Games,14
"Customizable Games, Wargames",15
"Party Games, Thematic Games",16
"Family Games, Party Games",17
"Customizable Games, Strategy Games",18
,19
"Children's Games, Family Games",20
"Abstract Games, Strategy Games",21
